Symbol;Name;Symbol2;Currency
SALU;ETFS 1X Daily Short Aluminium;SALU;USD
CJ1G;Amundi Index MSCI Japan UCITS ETF DR;CJ1G;GBP
XS7W;Xtrackers Portfolio Income UCITS ETF;0Y0J;EUR
NXKE;Nomura Nikkei 225 EUR-Hedged UCITS ETF;NXKE;EUR
LCJD;Lyxor Core MSCI Japan DR UCITS ETF;LCJD;USD
DEMD;WisdomTree Emerging Markets Equity Income UCITS ETF;DEMD;USD
VDPX;Vanguard FTSE Asia Pacific ex Japan UCITS ETF;VDPX;USD
JHEF;SciBeta HFE Japan Equity 6F EW UCITS ETF;JHEF;EUR
HTWN;HSBC MSCI Taiwan Capped UCITS ETF;HTWN;GBP
NIKU;UBS ETC linked to UBS Bloomberg CMCI Components USD Total Return Nickel Index;NIKU;USD
2JAL;Boost TOPIX 2x Leverage Daily ETP;2JAL;GBP
VAAA;Think iBoxx AAA-AA Government Bond UCITS ETF;VAAA;USD
AIGS;ETFS Softs;AIGS;USD
MCUU;UBS ETC linked to UBS Bloomberg CMCI Components USD Total Return Copper Index;MCUU;USD
ASIU;Lyxor China Enterprise HSCEI UCITS ETF;ASIU;USD
UPVLE;UBS Irl ETF Plc - Factor MSCI USA Prime Value UCITS ETF;0Y7G;EUR
IPDM;iShares Physical Palladium ETC;IPDM;USD
CARB;ETFS Carbon;CARB;EUR
FUSD;Fidelity US Quality Income UCITS ETF;FUSD;USD
XDNU;Xtrackers JPX-Nikkei 400 UCITS ETF;XDNU;USD
EUGBPD;UBS ETF MSCI EMU UCITS ETF;UB0F;GBP
C074;ComStage ETF STOXX Europe 600 Real Estate NR UCITS ETF;0H77;EUR
NOKP;ETFS Long NOK Short USD;NOKP;GBP
SAP3;ETFS 3x Short AUD Long GBP;SAP3;GBP
XEUM;Xtrackers MSCI Europe Mid Cap UCITS ETF;XEUM;GBP
EUFM;UBS ETF - MSCI EMU Select Factor Mix UCITS ETF;EUFM;GBP
0Y3I;Xtrackers S&P 500 UCITS ETF;0Y3I;EUR
3AUS;ETFS 3x Daily Short Gold;3AUS;USD
XAD6;Xtrackers Physical Silver ETC EUR;OXA6;EUR
SG73;SG EURO STOXX x5 DAILY SHORT;SG73;EUR
EDEU;BNP Paribas Easy Equity Dividend Europe UCITS ETF;0HGS;EUR
XB4A;Xtrackers ATX UCITS ETF;0MVW;EUR
IPLT;iShares Physical Platinum ETC;IPLT;USD
USAUSAUSD;UBS ETF MSCI USA UCITS ETF;UC67;USD
GIL5;Lyxor Core FTSE Actuaries UK Gilts 0-5Y DR UCITS ETF;GIL5;GBP
UD04;UBS ETF-Factor MSCI EMU Quality UCITS ETF;UD04;GBP
US13;Lyxor Core iBoxx USD Treasuries 1-3Y DR UCITS ETF;US13;USD
PHAU;ETFS Physical Gold;PHAU;USD
XDNS;Xtrackers JPX-Nikkei 400 UCITS ETF;XDNS;GBP
SMTC;Lyxor Smart Cash;SMTC;USD
FEM;First Trust Emerging Markets AlphaDEX UCITS ETF;FEM;GBP
XDWH;Xtrackers MSCI World Health Care UCITS ETF;XDWH;USD
MVEX;Lyxor FTSE Europe Minimum Variance DR UCITS ETF;MVEX;GBP
LGBB;ETFS Bullish GBP vs G10 Currency Basket Securities;LGBB;GBP
SG70;SG EURO STOXX x3 DAILY LONG;SG70;EUR
EEI;WisdomTree Europe Equity Income UCITS ETF;EEI;GBP
0JG6;iShares Core S&P Mid-Cap ETF;0JG6;USD
M9SV;Market Access STOXX China A Minimum Variance Index UCITS ETF;M9SV;GBP
DBZB;Xtrackers II Global Government Bond UCITS ETF;0MV9;EUR
FGQD;Fidelity Global Quality Income UCITS ETF;FGQD;GBP
FSKY;First Trust Cloud Computing UCITS ETF;FSKY;GBP
CCBO;WisdomTree AT1 CoCo Bond UCITS ETF;CCBO;USD
AEXK;Amundi Index Solutions-Amundi Msci Europe EX UK;AEXK;GBP
BRND;Boost Brent Oil ETC;BRND;USD
GGRA;WisdomTree Global Quality Dividend Growth UCITS ETF;GGRA;USD
ZGLDUS;ZKB Gold ETF;0MKF;USD
SG72;SG EURO STOXX x5 DAILY LONG;SG72;EUR
CC1G;Amundi Index Solutions-Amundi Msci China;CC1G;GBP
GBS;Gold Bullion Securities Ltd;GBS;USD
SBRT;ETFS 1X Daily Short Brent Crude;SBRT;USD
SGLN;iShares Physical Gold ETC;SGLN;GBP
VZLB;ETFS Physical Palladium;OVZB;EUR
LYLEM1;Lyxor IBOXX $ Liquid Emerging Markets Sovereigns UCITS ETF;LEMB;USD
HSPD;HSBC S&P 500 UCITS ETF;HSPD;USD
DXJ;WisdomTree Japan Equity UCITS ETF;DXJ;USD
CRWU;OSSIAM RISK WEIGHTED ENHANCED COMMODITY EX GRAINS TR UCITS ETF;CRWU;USD
VDNR;Vanguard FTSE North America UCITS ETF;VDNR;USD
SSLV;Invesco Physical Silver ETC;SSLV;USD
SAD;ETFS Short AUD Long USD;SAD;USD
0IJL;Emerging Markets Internet and Ecommerce ETF;0IJL;USD
AIGA;ETFS Agriculture;AIGA;USD
EXH7;iShares STOXX Europe 600 Personal & Household Goods UCITS ETF DE;0MOJ;EUR
EMMUKD;UBS ETF-MSCI Emerging Markets UCITS ETF;0HCP;USD
CSWG;Amundi Msci Switzerland;CSWG;GBP
LCWD;Lyxor Core MSCI World DR UCITS ETF;LCWD;USD
XSCS;Xtrackers MSCI USA Consumer Staples UCITS ETF;XSCS;GBP
PIMT;ETFS GBP Daily Hedged Ind Met;PIMT;GBP
LLEA;ETFS 2X Daily Long Lead;LLEA;USD
CWEG;Amundi MSCI World Energy UCITS ETF;CWEG;GBP
SCOR;ETFS 1X Daily Short Corn;SCOR;USD
ECBC;UC Thomson Reuters Balanced European Convertible Bond UCITS ETF;0HES;EUR
JPUSBH;UBS ETF - MSCI Japan hedged to USD UCITS ETF;0HBS;USD
GBPP;ETFS Long GBP Short USD;GBPP;GBP
TWNL;Lyxor MSCI Taiwan UCITS ETF;TWNL;GBP
USSRF;UBS ETF - MSCI USA Socially Responsible UCITS ETF;0HE3;EUR
LCNP;ETFS Long CNY Short USD USD;LCNP;GBP
DEMP;WisdomTree Emerging Asia Equity Income UCITS ETF;DEMP;GBP
HWWA;HSBC Multi Factor Worldwide Equity UCITS ETF;HWWA;GBP
SG49;SG GOLD X5 DAILY SHORT;SG49;USD
DGRG;WisdomTree US Quality Dividend Growth UCITS ETF;DGRG;GBP
JBSIUA;GAM Precious Metals - Physical Silver;0MKR;USD
FKU;First Trust United Kingdom AlphaDEX UCITS ETF;FKU;GBP
SPAL;Invesco Physical Palladium ETC;SPAL;USD
JBPLUA;GAM Precious Metals - Physical Platinum;0ANL;USD
VUKE;Vanguard FTSE 100 UCITS ETF;VUKE;GBP
AEJL;Lyxor Msci AC Asia Pacific EX Japan UCITS ETF;AEJL;GBP
SG63;SG GBPUSD x3 DAILY SHORT;SG63;USD
BGX;Expat Bulgaria SOFIX UCITS ETF;BGX;EUR
C063;ComStage ETF STOXX Europe 600 Basic Resources NR UCITS ETF;0H6S;EUR
C061;ComStage ETF STOXX Europe 600 Automobiles & Parts NR UCITS ETF;0H6Q;EUR
ENFX;ETFS G10 vs USD Multi Strategy FX Basket Security;ENFX;USD
VAPX;Vanguard FTSE Asia Pacific ex Japan UCITS ETF;VAPX;GBP
C029;ComStage ETF SPI TR UCITS ETF;0H9I;EUR
0LOE;Vanguard Small-Cap Growth ETF;0LOE;USD
CRNL;Lyxor Commodities Thomson Reuters/CoreCommodity CRB EX-Energy TR UCITS ETF;CRNL;GBP
2GS;Leverage Shares 2x Goldman Sachs ETP;2GS;GBP
WDMV;Ossiam ETF World MINIMUM VARIANCE;WDMV;USD
HTWD;HSBC MSCI Taiwan Capped UCITS ETF;HTWD;USD
SPET;ETFS 1X Daily Short Petroleum;SPET;USD
CI1;Amundi ETF MSCI Italy UCITS ETF;CI1;GBP
XSHC;Xtrackers MSCI USA Health Care UCITS ETF;XSHC;GBP
WCOG;Wisdomtree Enhanced Commodity UCITS ETF;WCOG;GBP
FAGR;ETFS Longer Dated Agriculture;FAGR;USD
PRIU;AMUNDI PRIME USA UCITS ETF DR;PRIU;GBP
LQQ3;Boost NASDAQ 100 3x Leverage Daily ETP;LQQ3;GBP
XKS2;Xtrackers MSCI Korea UCITS ETF;XKS2;GBP
SGRA;ETFS 1X Daily Short Grains;SGRA;USD
XMLA;Xtrackers MSCI EM Latin America Swap UCITS ETF;XMLA;GBP
VGOV;Vanguard U.K. Gilt UCITS ETF;VGOV;GBP
0IBR;Direxion Daily S&P Biotech Bull 3X Shares;0IBR;USD
UEQ3;UBS ETFs plc - CMCI Composite SF UCITS ETF;UC90;GBP
XMEU;Xtrackers MSCI Europe UCITS ETF;XMEU;GBP
